ID,Name,StudyHours,Attendance,Marks
1,Student_1,4.4,96,59.5
2,Student_2,9.6,61,60.0
3,Student_3,7.6,65,80.2
4,Student_4,6.4,73,99.6
5,Student_5,2.4,68,79.7
6,Student_6,2.4,57,73.5
7,Student_7,1.5,80,83.8
8,Student_8,8.8,70,67.9
9,Student_9,6.4,66,43.6
10,Student_10,7.4,72,73.7
11,Student_11,1.2,86,97.5
12,Student_12,9.7,65,50.5
13,Student_13,8.5,55,
14,Student_14,2.9,57,52.1
15,Student_15,2.6,74,72.1
16,Student_16,2.7,67,45.8
17,Student_17,3.7,74,67.0
18,Student_18,5.7,61,85.4
19,Student_19,4.9,64,60.9
20,Student_20,3.6,75,79.9
21,Student_21,6.5,90,87.7
22,Student_22,2.3,94,95.6
23,Student_23,3.6,75,
24,Student_24,4.3,96,64.0
25,Student_25,5.1,81,49.1
26,Student_26,8.1,59,99.5
27,Student_27,2.8,65,95.6
28,Student_28,5.6,56,72.4
29,Student_29,6.3,66,90.5
30,Student_30,1.4,72,71.3
31,Student_31,6.5,75,77.4
32,Student_32,2.5,70,45.3
33,Student_33,1.6,71,85.3
34,Student_34,9.5,56,47.7
35,Student_35,9.7,63,89.6
36,Student_36,8.3,64,86.9
37,Student_37,3.7,56,82.5
38,Student_38,1.9,58,42.2
39,Student_39,7.2,100,58.2
40,Student_40,5.0,97,55.8
41,Student_41,2.1,57,61.6
42,Student_42,5.5,99,45.3
43,Student_43,1.3,72,96.2
44,Student_44,9.2,78,73.2
45,Student_45,3.3,67,58.3
46,Student_46,7.0,80,63.8
47,Student_47,3.8,79,66.8
48,Student_48,5.7,88,76.0
49,Student_49,5.9,84,70.9
50,Student_50,2.7,67,95.2
51,Student_51,9.7,91,69.8
52,Student_52,8.0,88,99.5
53,Student_53,9.5,66,91.1
54,Student_54,9.1,63,52.5
55,Student_55,6.4,80,95.8
56,Student_56,9.3,73,47.0
57,Student_57,1.8,84,89.0
58,Student_58,2.8,93,62.8
59,Student_59,1.4,94,92.7
60,Student_60,3.9,83,92.1
61,Student_61,4.5,52,88.4
62,Student_62,3.4,86,87.4
63,Student_63,8.5,92,58.3
64,Student_64,4.2,89,44.9
65,Student_65,3.5,75,64.2
66,Student_66,5.9,72,50.4
67,Student_67,2.3,93,81.7
68,Student_68,8.2,88,60.8
69,Student_69,1.7,64,98.5
70,Student_70,9.9,98,78.5
71,Student_71,8.0,53,89.3
72,Student_72,2.8,78,48.0
73,Student_73,1.0,71,91.7
74,Student_74,8.3,74,95.4
75,Student_75,7.4,62,69.2
76,Student_76,7.6,67,76.4
77,Student_77,7.9,82,85.9
78,Student_78,1.7,65,50.5
79,Student_79,4.2,94,70.2
80,Student_80,2.0,91,63.9
81,Student_81,8.8,93,48.8
82,Student_82,6.6,51,62.1
83,Student_83,4.0,84,
84,Student_84,1.6,91,41.5
85,Student_85,3.8,83,48.1
86,Student_86,3.9,79,97.8
87,Student_87,7.6,62,73.0
88,Student_88,6.7,62,97.9
89,Student_89,9.0,67,65.9
90,Student_90,5.2,81,58.7
91,Student_91,2.1,81,70.4
92,Student_92,7.4,84,66.4
93,Student_93,7.8,88,46.3
94,Student_94,6.1,95,78.4
95,Student_95,7.9,78,53.0
96,Student_96,5.4,98,77.2
97,Student_97,5.7,78,79.0
98,Student_98,4.8,93,49.1
99,Student_99,1.2,65,43.7
100,Student_100,2.0,93,86.8
101,Student_101,1.3,96,
102,Student_102,6.7,59,43.5
103,Student_103,3.8,79,99.7
104,Student_104,5.6,74,43.5
105,Student_105,9.2,88,81.7
106,Student_106,3.2,69,99.0
107,Student_107,4.7,54,54.4
108,Student_108,7.8,50,48.5
109,Student_109,3.1,79,47.3
110,Student_110,1.7,98,58.2
111,Student_111,3.6,52,46.1
112,Student_112,2.5,94,81.5
113,Student_113,9.4,63,43.7
114,Student_114,8.3,79,70.6
115,Student_115,6.7,99,99.8
116,Student_116,8.8,53,88.8
117,Student_117,8.2,67,76.9
